PayByPalm 30-Day Master Tracker,,,,,,,,,,,,,,,,Task purpose & user impact,,
"September 1–30, 2026 • 73 task-specific user stories in E; purpose, beneficiaries and journey impact in Q:S. Open Task Stories for a compact reading view. Existing dates, owners, statuses and acceptance criteria are unchanged.",,,,,,,,,,,,,,,,Read alongside the story in column E. These are intended outcomes; status and acceptance evidence still determine completion.,,
,,,,,,,,,,,,,,,,,,
ID,Phase,Workstream,Task,Storyline / user story,Owner,Start,Due,Dependency,Priority,Status,% Complete,Acceptance criteria,Evidence / link,Blocker / notes,Schedule flag,Purpose / what this task is for,Who benefits,How it relates to users / journey impact
PB-055,5 Settlement & Hardening,Security,Delete transient palm images after API processing,"As a customer after a scan, I do not want temporary photos of my hand left behind in the terminal or backend’s capture folders.",Backend,Sep 22,Sep 24,"PB-006, PB-038",Critical,Not Started,0%,Automated test confirms capture files are removed after success/failure unless explicit research consent applies.,,,,"Delete transient palm images after processing on both success and failure paths, subject to explicitly consented research exceptions.",Customer; privacy reviewer,Journey: after capture. Temporary files are removed under the defined policy; this task does not by itself prove deletion inside an external recognition provider.
PB-056,5 Settlement & Hardening,User PWA,"Implement consent withdrawal, palm unlink and account deletion request","As a customer leaving PayByPalm, I want to withdraw consent, unlink my palm and request account deletion, with a visible status rather than an unanswered message.",Frontend,Sep 23,Sep 25,"PB-028, PB-055",High,Not Started,0%,User can initiate revocation and see its status.,,,,Build revocation and deletion-request controls and their backend workflow.,Customer; privacy/support team,Journey: leave the service. The customer can stop the local palm link being used and follow the deletion request; any retention exceptions are explained instead of promising unsupported instant erasure.
PB-057,5 Settlement & Hardening,QA,"Test decline, expired card, insufficient funds and non-reusable token","As a customer whose card declines or expires, I want a clear failure message; the merchant must not mistake the failed attempt for a completed sale.",QA,Sep 23,Sep 25,PB-039,Critical,Not Started,0%,"Every documented failure produces correct state, safe message and no delivered value.",,,,"Exercise documented processor failure cases, including insufficient funds and unusable authorization references.",Customer; merchant; QA team,Journey: failed payment. The terminal shows the correct safe next step and does not confirm paid value when the test authorization failed.
PB-058,5 Settlement & Hardening,QA,Test invalid/duplicate webhook and wrong-amount verification,"As a merchant, I want fake confirmations, duplicated events and wrong-amount responses rejected before they can make an unpaid order look paid.",QA,Sep 23,Sep 25,"PB-041, PB-042",Critical,Not Started,0%,Security tests fail closed and generate audit evidence.,,,,"Test webhook authenticity, repeated-event handling and exact-amount verification with audit evidence.",Merchant; customer; QA team,Journey: confirmation under attack or error. Negative tests demonstrate that the payment record fails closed in these cases instead of producing a misleading success.
PB-059,5 Settlement & Hardening,QA,"Test terminal rebind, stolen config and cross-merchant isolation","As a merchant, I want an old configuration or reassigned terminal prevented from accessing my sales after it no longer belongs to my shop.",QA,Sep 24,Sep 26,"PB-032, PB-033",Critical,Not Started,0%,Terminal cannot charge or view data for any merchant except server assignment.,,,,"Test rebind revocation, stolen-config scenarios and cross-merchant data and charge isolation.",Merchant; administrator; QA team,"Journey: device lifecycle. Attempts using revoked or mismatched credentials are blocked in the tested cases, protecting both transaction routing and merchant data."
PB-060,5 Settlement & Hardening,QA,"Test unknown palm, poor lighting, motion and wide-lens edge placement","As a customer whose hand moves or sits near the lens edge, I want useful repositioning guidance rather than a wrong identification or endless unexplained failures.",QA,Sep 24,Sep 26,"PB-050, PB-051",High,Not Started,0%,Failure/retry thresholds and capture guidance are documented.,,,,"Test unknown hands, poor light, motion and edge placement on the assembled terminal.",Customer; terminal operator; QA team,Journey: imperfect capture. Documented thresholds and retry instructions show when to reposition or stop; results expose limitations rather than claiming every palm will work.
PB-061,5 Settlement & Hardening,Merchant Portal,"Add CSV export, settlement variance and terminal health indicators","As a merchant closing the day, I want to export my sales and quickly spot settlement discrepancies or terminals that need attention.",Frontend,Sep 23,Sep 26,"PB-045, PB-047",Medium,Not Started,0%,Merchant can export transactions and see settlement/terminal exceptions.,,,,Add CSV export and clear settlement-variance and terminal-health indicators.,Merchant; merchant operations and finance staff,Journey: daily review. The merchant can share an operational record and investigate exceptions without manually copying every transaction from the screen.
PB-062,5 Settlement & Hardening,User PWA,Add payment receipt and transaction history,"As a customer after paying, I want a receipt and my own transaction history so I can check what I paid and identify the merchant.",Frontend,Sep 23,Sep 26,PB-051,High,Not Started,0%,User receives masked-card receipt without seeing another user or merchant’s data.,,,,Build user-scoped receipts and history with masked card information.,Customer; customer support team,"Journey: after payment. The customer can revisit the amount, merchant and payment result without exposing full card data or seeing another person’s purchases."
PB-063,5 Settlement & Hardening,Observability,"Add correlation IDs, latency logging and service health metrics","As a support engineer investigating a stuck payment, I want to follow one checkout across services without asking the customer to repeat sensitive information.",Backend,Sep 24,Sep 26,PB-051,High,Not Started,0%,"One transaction can be traced across terminal, PalmAI, processor and webhook without sensitive values.",,,,"Add correlation IDs, timing logs and service-health metrics while excluding secrets.",Support engineers directly; customer and merchant indirectly,"Journey: resolve problems. A support case can distinguish capture, identification, processor and webhook delays, helping explain a pending checkout without blindly retrying it."
PB-064,5 Settlement & Hardening,Performance,Measure palm-to-result and end-to-end payment latency,"As a customer in a queue, I want the team to know the real time from palm scan to result so it can fix the slowest part of checkout.",QA,Sep 25,Sep 27,PB-063,High,Not Started,0%,"Report includes median, p95 and failure rate for at least 20 sandbox attempts.",,,,"Measure median, p95 and failure rate across at least 20 sandbox attempts using instrumented stages.",Customer; merchant; QA team,Journey: waiting time. Measured prototype performance informs improvements and honest expectations; it does not turn an assumed one-to-three-second charge time into a proven end-to-end promise.
PB-065,5 Settlement & Hardening,Compliance,"Draft privacy notice, consent record and DPIA checklist","As a customer deciding whether to enroll, I want a clear privacy notice and an accountable review of biometric risks, not an unexplained consent checkbox.",Security/Compliance,Sep 22,Sep 27,"PB-006, PB-053",Critical,Not Started,0%,Prototype documentation is review-ready; live use remains blocked until legal/compliance approval.,,,,"Prepare the privacy notice, consent record and DPIA review checklist using the agreed policy and threat model.",Customer; privacy reviewer; project owner,"Journey: informed trust. The documentation explains the prototype’s handling and rights process; a draft checklist is not legal approval, and live use remains gated on required review."
PB-066,5 Settlement & Hardening,Product,Run MVP acceptance review and cut non-critical defects,"As a customer trying the month-end demo, I want the core journey to work safely even if optional polish must wait.",Product Lead,Sep 27,Sep 27,"PB-052, PB-057, PB-058, PB-059, PB-060",Critical,Not Started,0%,All critical tests pass or have an explicit blocker/owner; stretch work is deferred.,,,,"Review critical acceptance evidence, assign unresolved blockers and defer non-critical enhancements.",Customer; merchant; delivery team,"Journey: release decision. Enrollment, correct charging, isolation and reconciliation take priority; unresolved critical defects are visible rather than hidden by a completion claim."
PB-067,6 Freeze & Demo,Engineering,Freeze release candidate and production-like test configuration,"As a demo operator, I want the tested version to remain stable between rehearsal and presentation instead of changing unexpectedly overnight.",Product Lead,Sep 28,Sep 28,PB-066,Critical,Not Started,0%,Release is tagged; secrets/config are documented and no new features enter.,,,,"Tag a release candidate and freeze documented, production-like test configuration without adding new features.",Demo operator; customer; merchant,Journey: repeatable demonstration. The same known build and test settings are used each time; production-like configuration does not authorize real payments or commercial use.
PB-068,6 Freeze & Demo,QA,Run five consecutive end-to-end demo payments,"As a merchant considering the prototype, I want several consecutive customers to complete the demo, not just one carefully rescued attempt.",QA,Sep 28,Sep 29,PB-067,Critical,Not Started,0%,Five attempts succeed without manual database changes or duplicate charges.,,,,Run five consecutive end-to-end demo payments against the frozen release and record evidence.,Test customer; test merchant; QA team,"Journey: repeat checkout. Five successful sandbox attempts without manual data changes or duplicate charges provide repeatability evidence, not a claim of production reliability."
PB-069,6 Freeze & Demo,QA,Demonstrate merchant T+1 settlement and reconciliation journey,"As a merchant, I want to follow a sale from payment confirmation to expected settlement and reconciliation, including what happens if the numbers differ.",QA,Sep 29,Sep 29,"PB-052, PB-067",Critical,Not Started,0%,"Merchant page explains pending, expected, settled and variance states using sandbox/mock data.",,,,"Demonstrate pending, expected, settled and variance states using labeled sandbox or mock data.",Merchant; demo audience,Journey: explain settlement. The merchant can distinguish an estimate from processor-reported status and a mismatch; simulated settlement is never described as an actual bank payout.
PB-070,6 Freeze & Demo,Documentation,"Finalize architecture, API, commissioning, recovery and demo runbook","As a new teammate or terminal operator, I want instructions to set up, activate, demonstrate and recover the prototype without depending on its original builder.",Product Lead,Sep 28,Sep 30,PB-067,High,Not Started,0%,A new teammate can set up and demonstrate the prototype from documentation.,,,,"Complete architecture, API, commissioning, recovery and demo runbooks.",Engineers; terminal operator; merchant indirectly,"Journey: support and handover. A new operator can reproduce setup and follow a recovery procedure when something fails, reducing interruptions for customers at the counter."
PB-071,6 Freeze & Demo,3D/CAD,"Export final CAD, STL, BOM and assembly photos","As a hardware builder, I want the final model, print files, component list and assembly photos so I can reproduce or repair the same terminal.",Hardware/CAD,Sep 28,Sep 29,PB-050,High,Not Started,0%,All fabrication files and component list are archived.,,,,"Archive editable CAD, STL, bill of materials and assembly documentation.",Hardware builder; terminal operator; merchant indirectly,"Journey: maintain the device. A damaged part can be recreated from the approved design, preserving the tested screen placement and palm-capture geometry."
PB-072,6 Freeze & Demo,Demo,Record backup video and conduct full dress rehearsal,"As someone watching the demo, I want to see the complete customer and merchant story even if the live network fails during the presentation.",Product Lead,Sep 29,Sep 30,"PB-068, PB-069, PB-070, PB-071",Critical,Not Started,0%,"Backup video and live script cover enrollment, payment, merchant transaction and settlement.",,,,Rehearse the full script and record a clearly identified backup of the working prototype.,Demo audience; presenter; prospective merchant,"Journey: communicate the result. Enrollment, palm payment, merchant transaction and settlement views form one coherent demonstration; recorded footage is labeled rather than presented as a live transaction."
PB-073,6 Freeze & Demo,Product,Sign off prototype completion and post-month roadmap,"As a project owner and prospective merchant, I want a clear account of what the prototype proves, what remains incomplete and what must happen before real use.",Product Lead,Sep 30,Sep 30,PB-072,Critical,Not Started,0%,"MVP definition is checked, open blockers are recorded and commercialisation work is separated.",,,,"Check completion against scope, record open blockers and separate future commercialisation work from prototype delivery.",Project owner; merchant; customers indirectly,"Journey: after the demo. Sign-off reflects actual evidence; processor approval, commercial biometric licensing, privacy/security review and remaining reliability work stay explicit next steps."
